"","country","week","mismatch","meanI","meanR0","meantemp","changes"
"1",1,1,0,0.158969855130524,3.17690919059868,24.2906461119316,5
"2",1,2,0,0.159311334192426,3.1780870045832,24.282622707614,5
"3",1,3,0,0.16098978160143,3.19569834990019,24.1626042277406,5
"4",1,4,0,0.168810751698675,3.22944803954154,23.932331246927,5
"5",1,5,0,0.185918783725783,3.27875716794647,23.5951433117618,5
"6",1,6,0,0.188322160374121,3.34275024394447,23.1559305088487,5
"7",1,7,0,0.184254485260291,3.42024250888643,22.6210625460556,5
"8",1,8,0,0.184837443894958,3.50973385066165,21.9982963754761,5
"9",1,9,0,0.187618037903728,3.60941610591832,21.2966636978036,5
"10",1,10,0,0.19031060142859,3.7171996403577,20.5263399795952,5
"11",1,11,0,0.192432566778465,3.8307629697776,19.6984968830071,5
"12",1,12,0,0.194336409388091,3.94762620371297,18.825140248149,5
"13",1,13,0,0.196184056938373,4.06524578922904,17.9189359777263,5
"14",1,14,0,0.197909049898394,4.18112479716225,16.9930263490886,5
"15",1,15,0,0.199449940484047,4.29292993842771,16.0608394176286,5
"16",1,16,0,0.200802103373225,4.39860375171157,15.1358942756688,5
"17",1,17,0,0.20197678257257,4.49645864171829,14.2316049910806,5
"18",1,18,0,0.202982540830676,4.58523993349712,13.3610860690261,5
"19",1,19,0,0.203829003093059,4.66414882745998,12.5369622581246,5
"20",1,20,0,0.204529126714688,4.73282267809616,11.7711854593401,5
"21",1,21,0,0.205097396581018,4.79127738928627,11.0748613928794,5
"22",1,22,0,0.20554807127646,4.8398224488908,10.458088536873,5
"23",1,23,0,0.205894332366977,4.87896167664,9.9298116736399,5
"24",1,24,0,0.206147699306832,4.90929214100027,9.49769216748888,5
"25",1,25,0,0.206317519763083,4.93141104786047,9.16799685536103,5
"26",1,26,0,0.20641059617314,4.94583712117011,8.94550716168161,5
"27",1,27,0,0.20643095490728,4.95295011796824,8.83344975548892,5
"28",1,28,0,0.206379730776786,4.95295011796824,8.83344975548892,5
"29",1,29,0,0.206255154304636,4.94583712117011,8.9455071616816,5
"30",1,30,0,0.206052641843549,4.93141104786047,9.16799685536102,5
"31",1,31,0,0.20576499356043,4.90929214100027,9.49769216748886,5
"32",1,32,0,0.205382708218676,4.87896167664,9.92981167363987,5
"33",1,33,0,0.204894427967803,4.8398224488908,10.458088536873,5
"34",1,34,0,0.204287529461155,4.79127738928628,11.0748613928794,5
"35",1,35,0,0.203548876329834,4.73282267809616,11.7711854593401,5
"36",1,36,0,0.202665740698645,4.66414882745999,12.5369622581246,5
"37",1,37,0,0.201626886017215,4.58523993349712,13.3610860690261,5
"38",1,38,0,0.200423781428633,4.49645864171829,14.2316049910805,5
"39",1,39,0,0.199051895781359,4.39860375171158,15.1358942756687,5
"40",1,40,0,0.197512005593825,4.29292993842772,16.0608394176285,5
"41",1,41,0,0.19581145027542,4.18112479716226,16.9930263490885,5
"42",1,42,0,0.193965273481875,4.06524578922905,17.9189359777262,5
"43",1,43,0,0.191997185477369,3.94762620371298,18.8251402481489,5
"44",1,44,0,0.189940253712383,3.83076296977761,19.6984968830071,5
"45",1,45,0,0.187837180985508,3.71719964035771,20.5263399795951,5
"46",1,46,0,0.185739987442958,3.60941610591833,21.2966636978035,5
"47",1,47,0,0.183708904994802,3.50973385066165,21.998296375476,5
"48",1,48,0,0.1818103399374,3.42024250888644,22.6210625460556,5
"49",1,49,0,0.180113856940002,3.34275024394448,23.1559305088486,5
"50",1,50,0,0.178688262131191,3.27875716794647,23.5951433117618,5
"51",1,51,0,0.177597004003161,3.22944803954154,23.932331246927,5
"52",1,52,0,0.17689324637469,3.19569834990019,24.1626042277406,5
"53",1,53,0,0.176662475743719,3.18296504182647,24.2493917253324,5
"54",1,1,0.25,0.158938580458349,3.17706557829992,24.2906461119316,5
"55",1,2,0.25,0.159293755470024,3.17832748695496,24.282622707614,5
"56",1,3,0.25,0.161016238827957,3.19719220539961,24.1626042277406,5
"57",1,4,0.25,0.16892312523852,3.23332158256893,23.932331246927,5
"58",1,5,0.25,0.186155083874956,3.28605049668936,23.5951433117618,5
"59",1,6,0.25,0.188620439469196,3.35436883455188,23.1559305088487,5
"60",1,7,0.25,0.184657084170379,3.43690319358092,22.6210625460556,5
"61",1,8,0.25,0.18536457587792,3.5319068815843,21.9982963754761,5
"62",1,9,0.25,0.188244502289808,3.63726747555713,21.2966636978036,5
"63",1,10,0.25,0.190996622691803,3.75054017471293,20.5263399795952,5
"64",1,11,0.25,0.193151026610499,3.86901238828609,19.6984968830071,5
"65",1,12,0.25,0.195066831029739,3.98980079659461,18.825140248149,5
"66",1,13,0.25,0.19690004899473,4.10997719046556,17.9189359777263,5
"67",1,14,0.25,0.198581943059016,4.22671442370382,16.9930263490886,5
"68",1,15,0.25,0.20005502294964,4.33743931596377,16.0608394176286,5
"69",1,16,0.25,0.20131936373713,4.43997584482705,15.1358942756688,5
"70",1,17,0.25,0.202390049568654,4.53266042793192,14.2316049910806,5
"71",1,18,0.25,0.203279842671703,4.61441284758326,13.3610860690261,5
"72",1,19,0.25,0.204003249168554,4.68475216286731,12.5369622581246,5
"73",1,20,0.25,0.204578396109374,4.74375586882901,11.7711854593401,5
"74",1,21,0.25,0.205024977145942,4.79196999778344,11.0748613928794,5
"75",1,22,0.25,0.205362407777506,4.83028486295146,10.458088536873,5
"76",1,23,0.25,0.205608797438979,4.85979400794026,9.9298116736399,5
"77",1,24,0.25,0.205780128075385,4.88165279940262,9.49769216748888,5
"78",1,25,0.25,0.205889503127209,4.8969494537038,9.16799685536103,5
"79",1,26,0.25,0.205946549983483,4.90659688936622,8.94550716168161,5
"80",1,27,0.25,0.205957003732062,4.91124995907048,8.83344975548892,5
"81",1,28,0.25,0.205922469268899,4.91124995907048,8.83344975548892,5
"82",1,29,0.25,0.205840366981905,4.90659688936622,8.9455071616816,5
"83",1,30,0.25,0.205704068991229,4.8969494537038,9.16799685536102,5
"84",1,31,0.25,0.205503226555603,4.88165279940262,9.49769216748886,5
"85",1,32,0.25,0.205224282346906,4.85979400794026,9.92981167363987,5
"86",1,33,0.25,0.204851157390919,4.83028486295146,10.458088536873,5
"87",1,34,0.25,0.204366102341555,4.79196999778344,11.0748613928794,5
"88",1,35,0.25,0.203750701789196,4.74375586882901,11.7711854593401,5
"89",1,36,0.25,0.202987019563343,4.68475216286731,12.5369622581246,5
"90",1,37,0.25,0.202058866800385,4.61441284758327,13.3610860690261,5
"91",1,38,0.25,0.200953163828521,4.53266042793193,14.2316049910805,5
"92",1,39,0.25,0.199661355275223,4.43997584482705,15.1358942756687,5
"93",1,40,0.25,0.198180830911335,4.33743931596378,16.0608394176285,5
"94",1,41,0.25,0.196516304768078,4.22671442370383,16.9930263490885,5
"95",1,42,0.25,0.194681104788574,4.10997719046556,17.9189359777262,5
"96",1,43,0.25,0.19269830950153,3.98980079659462,18.8251402481489,5
"97",1,44,0.25,0.190601625548074,3.86901238828609,19.6984968830071,5
"98",1,45,0.25,0.188435837215151,3.75054017471294,20.5263399795951,5
"99",1,46,0.25,0.186256604411485,3.63726747555714,21.2966636978035,5
"100",1,47,0.25,0.184129371802163,3.53190688158431,21.998296375476,5
"101",1,48,0.25,0.182127200251879,3.43690319358093,22.6210625460556,5
"102",1,49,0.25,0.180327439336881,3.35436883455188,23.1559305088486,5
"103",1,50,0.25,0.178807303341146,3.28605049668936,23.5951433117618,5
"104",1,51,0.25,0.17763857988725,3.23332158256893,23.932331246927,5
"105",1,52,0.25,0.176881870013358,3.19719220539961,24.1626042277406,5
"106",1,53,0.25,0.176632787914013,3.18355370452012,24.2493917253324,5
"107",1,1,0.5,0.158876673867589,3.17737810788197,24.2906461119316,5
"108",1,2,0.5,0.159258197979342,3.1788079462052,24.282622707614,5
"109",1,3,0.5,0.161068630051795,3.20016654826668,24.1626042277406,5
"110",1,4,0.5,0.169146020348103,3.24098210161983,23.932331246927,5
"111",1,5,0.5,0.186618441812687,3.30032198585553,23.5951433117618,5
"112",1,6,0.5,0.189192737908581,3.37676031525071,23.1559305088487,5
"113",1,7,0.5,0.185409784689461,3.46834505626687,22.6210625460556,5
"114",1,8,0.5,0.186317790982357,3.57258056012531,21.9982963754761,5
"115",1,9,0.5,0.189326646755049,3.68644295277024,21.2966636978036,5
"116",1,10,0.5,0.192109642055586,3.80644409681626,20.5263399795952,5
"117",1,11,0.5,0.194222362033357,3.92875427881895,19.6984968830071,5
"118",1,12,0.5,0.196035095559353,4.04938474214952,18.825140248149,5
"119",1,13,0.5,0.19769351184808,4.1644200399023,17.9189359777263,5
"120",1,14,0.5,0.199127575086185,4.27027898714982,16.9930263490886,5
"121",1,15,0.5,0.200289450013266,4.36397401734233,16.0608394176286,5
"122",1,16,0.5,0.201189770603014,4.44333413827338,15.1358942756688,5
"123",1,17,0.5,0.20185352245507,4.50715827088337,14.2316049910806,5
"124",1,18,0.5,0.202305025296078,4.55527450934575,13.3610860690261,5
"125",1,19,0.5,0.202572353442007,4.58849581897563,12.5369622581246,5
"126",1,20,0.5,0.202688688008092,4.60848040497978,11.7711854593401,5
"127",1,21,0.5,0.202689971351401,4.61752036884438,11.0748613928794,5
"128",1,22,0.5,0.202612664080416,4.61829098362056,10.458088536873,5
"129",1,23,0.5,0.202492007568543,4.61359339802453,9.9298116736399,5
"130",1,24,0.5,0.202360245770115,4.60611735273586,9.49769216748888,5
"131",1,25,0.5,0.202244774009723,4.59824089646972,9.16799685536103,5
"132",1,26,0.5,0.20216641992136,4.59187452766988,8.94550716168161,5
"133",1,27,0.5,0.202138036965398,4.58834998161952,8.83344975548892,5
"134",1,28,0.5,0.202163559577418,4.58834998161952,8.83344975548892,5
"135",1,29,0.5,0.202237675955318,4.59187452766988,8.9455071616816,5
"136",1,30,0.5,0.202346095148206,4.59824089646972,9.16799685536102,5
"137",1,31,0.5,0.202466540854419,4.60611735273586,9.49769216748886,5
"138",1,32,0.5,0.202570264598351,4.61359339802453,9.92981167363987,5
"139",1,33,0.5,0.202623914933011,4.61829098362056,10.458088536873,5
"140",1,34,0.5,0.20259163445903,4.61752036884438,11.0748613928794,5
"141",1,35,0.5,0.202437172694651,4.60848040497978,11.7711854593401,5
"142",1,36,0.5,0.202125892534502,4.58849581897563,12.5369622581246,5
"143",1,37,0.5,0.201626607506817,4.55527450934575,13.3610860690261,5
"144",1,38,0.5,0.200913240084401,4.50715827088337,14.2316049910805,5
"145",1,39,0.5,0.199966333154581,4.44333413827339,15.1358942756687,5
"146",1,40,0.5,0.198774471348767,4.36397401734234,16.0608394176285,5
"147",1,41,0.5,0.197335673971208,4.27027898714982,16.9930263490885,5
"148",1,42,0.5,0.195658757064695,4.1644200399023,17.9189359777262,5
"149",1,43,0.5,0.193764791859914,4.04938474214953,18.8251402481489,5
"150",1,44,0.5,0.191688266467532,3.92875427881896,19.6984968830071,5
"151",1,45,0.5,0.189477985529712,3.80644409681627,20.5263399795951,5
"152",1,46,0.5,0.187197254326144,3.68644295277024,21.2966636978035,5
"153",1,47,0.5,0.1849229607135,3.57258056012531,21.998296375476,5
"154",1,48,0.5,0.182743249424059,3.46834505626687,22.6210625460556,5
"155",1,49,0.5,0.180753579246067,3.37676031525071,23.1559305088486,5
"156",1,50,0.5,0.17905115131791,3.30032198585553,23.5951433117618,5
"157",1,51,0.5,0.177727940009718,3.24098210161983,23.932331246927,5
"158",1,52,0.5,0.176862823650101,3.20016654826669,24.1626042277406,5
"159",1,53,0.5,0.176575426371944,3.18472921219741,24.2493917253324,5
"160",1,1,0.75,0.163896080468919,3.40117704560966,24.2906461119316,5
"161",1,2,0.75,0.164256981917619,3.40228706210555,24.282622707614,5
"162",1,3,0.75,0.166429173658967,3.41885815348871,24.1626042277406,5
"163",1,4,0.75,0.177727025965694,3.45047389140832,23.932331246927,5
"164",1,5,0.75,0.194016699971419,3.4963260138397,23.5951433117618,5
"165",1,6,0.75,0.190705066571427,3.55521198460604,23.1559305088487,5
"166",1,7,0.75,0.187376198939455,3.62553945280681,22.6210625460556,5
"167",1,8,0.75,0.188701978717723,3.70534534035267,21.9982963754761,5
"168",1,9,0.75,0.191175125059312,3.79233713348712,21.2966636978036,5
"169",1,10,0.75,0.193115107584086,3.88396190867957,20.5263399795952,5
"170",1,11,0.75,0.194602202793653,3.97750487437352,19.6984968830071,5
"171",1,12,0.75,0.195993826253522,4.0702144281229,18.825140248149,5
"172",1,13,0.75,0.19731432143254,4.15944586252252,17.9189359777263,5
"173",1,14,0.75,0.19847820976555,4.24281173726042,16.9930263490886,5
"174",1,15,0.75,0.199455961822392,4.31832404139635,16.0608394176286,5
"175",1,16,0.75,0.200257274560911,4.38451191925222,15.1358942756688,5
"176",1,17,0.75,0.200894886970409,4.44049952958879,14.2316049910806,5
"177",1,18,0.75,0.201381147166403,4.48603238737244,13.3610860690261,5
"178",1,19,0.75,0.201732676951135,4.52144750885623,12.5369622581246,5
"179",1,20,0.75,0.201970071059381,4.5475915353488,11.7711854593401,5
"180",1,21,0.75,0.202115635965985,4.5656991343367,11.0748613928794,5
"181",1,22,0.75,0.202191781591069,4.57724882958137,10.458088536873,5
"182",1,23,0.75,0.202219863672091,4.58381393101525,9.9298116736399,5
"183",1,24,0.75,0.202219071341621,4.58692316203149,9.49769216748888,5
"184",1,25,0.75,0.202205391110607,4.5879407139083,9.16799685536103,5
"185",1,26,0.75,0.202190746965118,4.58797060563144,8.94550716168161,5
"186",1,27,0.75,0.202182359306541,4.58778656239495,8.83344975548892,5
"187",1,28,0.75,0.2021823494524,4.58778656239495,8.83344975548892,5
"188",1,29,0.75,0.202187616882393,4.58797060563144,8.9455071616816,5
"189",1,30,0.75,0.202190005776821,4.5879407139083,9.16799685536102,5
"190",1,31,0.75,0.202176758222241,4.58692316203149,9.49769216748886,5
"191",1,32,0.75,0.202131231606379,4.58381393101525,9.92981167363987,5
"192",1,33,0.75,0.202033842652678,4.57724882958137,10.458088536873,5
"193",1,34,0.75,0.20186319274433,4.5656991343367,11.0748613928794,5
"194",1,35,0.75,0.20159732480237,4.5475915353488,11.7711854593401,5
"195",1,36,0.75,0.201215062802247,4.52144750885623,12.5369622581246,5
"196",1,37,0.75,0.200697384722632,4.48603238737244,13.3610860690261,5
"197",1,38,0.75,0.20002877855741,4.44049952958879,14.2316049910805,5
"198",1,39,0.75,0.199198532031676,4.38451191925223,15.1358942756687,5
"199",1,40,0.75,0.198201914351731,4.31832404139635,16.0608394176285,5
"200",1,41,0.75,0.197041222987468,4.24281173726042,16.9930263490885,5
"201",1,42,0.75,0.19572668062674,4.15944586252253,17.9189359777262,5
"202",1,43,0.75,0.194277160197352,4.0702144281229,18.8251402481489,5
"203",1,44,0.75,0.192720677846868,3.97750487437352,19.6984968830071,5
"204",1,45,0.75,0.191094533286632,3.88396190867958,20.5263399795951,5
"205",1,46,0.75,0.189444922745119,3.79233713348713,21.2966636978035,5
"206",1,47,0.75,0.187825834360795,3.70534534035267,21.998296375476,5
"207",1,48,0.75,0.186297078514518,3.62553945280681,22.6210625460556,5
"208",1,49,0.75,0.184921401627207,3.55521198460604,23.1559305088486,5
"209",1,50,0.75,0.183760759001866,3.4963260138397,23.5951433117618,5
"210",1,51,0.75,0.182871970785416,3.45047389140832,23.932331246927,5
"211",1,52,0.75,0.182302126826304,3.41885815348871,24.1626042277406,5
"212",1,53,0.75,0.182118188503363,3.40688360389843,24.2493917253324,5
"213",1,1,1,0.164520253351163,3.43011157529895,24.2906461119316,5
"214",1,2,1,0.164868652276232,3.43110996292241,24.282622707614,5
"215",1,3,1,0.16707562219014,3.4460152803994,24.1626042277406,5
"216",1,4,1,0.178773364363749,3.47445731805557,23.932331246927,5
"217",1,5,1,0.194607830795169,3.5157204851204,23.5951433117618,5
"218",1,6,1,0.190662920103638,3.56874672861648,23.1559305088487,5
"219",1,7,1,0.187354399810165,3.63214569308843,22.6210625460556,5
"220",1,8,1,0.188616518009386,3.7042175129457,21.9982963754761,5
"221",1,9,1,0.190932754399061,3.78299324046101,21.2966636978036,5
"222",1,10,1,0.192714959200179,3.86629613019649,20.5263399795952,5
"223",1,11,1,0.194085768488397,3.95182410011745,19.6984968830071,5
"224",1,12,1,0.195394543973317,4.0372502945202,18.825140248149,5
"225",1,13,1,0.196658785724474,4.12033551534729,17.9189359777263,5
"226",1,14,1,0.197793924310025,4.19904383889918,16.9930263490886,5
"227",1,15,1,0.198770420580326,4.27165105252141,16.0608394176286,5
"228",1,16,1,0.199595618937548,4.33683460033869,15.1358942756688,5
"229",1,17,1,0.200278933447945,4.39373394024834,14.2316049910806,5
"230",1,18,1,0.200828807630435,4.44197247720366,13.3610860690261,5
"231",1,19,1,0.201257368775769,4.48163707673824,12.5369622581246,5
"232",1,20,1,0.201580268821234,4.51321779310347,11.7711854593401,5
"233",1,21,1,0.201814571702428,4.5375168182837,11.0748613928794,5
"234",1,22,1,0.201977321975831,4.5555396235187,10.458088536873,5
"235",1,23,1,0.202084620174397,4.56838183967167,9.9298116736399,5
"236",1,24,1,0.202150788382874,4.57712313331792,9.49769216748888,5
"237",1,25,1,0.202187630706662,4.58273561005535,9.16799685536103,5
"238",1,26,1,0.202203860841817,4.58601056265396,8.94550716168161,5
"239",1,27,1,0.202204703797902,4.58750459523454,8.83344975548892,5
"240",1,28,1,0.202191665908407,4.58750459523454,8.83344975548892,5
"241",1,29,1,0.202162474836723,4.58601056265396,8.9455071616816,5
"242",1,30,1,0.202111194545264,4.58273561005535,9.16799685536102,5
"243",1,31,1,0.202028516971857,4.57712313331792,9.49769216748886,5
"244",1,32,1,0.201902228155461,4.56838183967167,9.92981167363987,5
"245",1,33,1,0.201717843323055,4.5555396235187,10.458088536873,5
"246",1,34,1,0.201459402995363,4.53751681828371,11.0748613928794,5
"247",1,35,1,0.201110416382283,4.51321779310347,11.7711854593401,5
"248",1,36,1,0.200654929950556,4.48163707673824,12.5369622581246,5
"249",1,37,1,0.200078685375433,4.44197247720366,13.3610860690261,5
"250",1,38,1,0.1993703148506,4.39373394024834,14.2316049910805,5
"251",1,39,1,0.198522509828088,4.33683460033869,15.1358942756687,5
"252",1,40,1,0.197533099497442,4.27165105252141,16.0608394176285,5
"253",1,41,1,0.196405990040443,4.19904383889919,16.9930263490885,5
"254",1,42,1,0.195151935465793,4.12033551534729,17.9189359777262,5
"255",1,43,1,0.19378911671552,4.0372502945202,18.8251402481489,5
"256",1,44,1,0.192343483016674,3.95182410011745,19.6984968830071,5
"257",1,45,1,0.190848763196344,3.8662961301965,20.5263399795951,5
"258",1,46,1,0.189346011061423,3.78299324046102,21.2966636978035,5
"259",1,47,1,0.187882539307886,3.7042175129457,21.998296375476,5
"260",1,48,1,0.186510137445851,3.63214569308843,22.6210625460556,5
"261",1,49,1,0.185282553966839,3.56874672861648,23.1559305088486,5
"262",1,50,1,0.184252331328875,3.5157204851204,23.5951433117618,5
"263",1,51,1,0.183467199859428,3.47445731805557,23.932331246927,5
"264",1,52,1,0.182966342454054,3.4460152803994,24.1626042277406,5
"265",1,53,1,0.182805656608202,3.43524427027761,24.2493917253324,5
"266",2,1,0,0.160115499303225,3.24141686325325,23.9045712850223,5
"267",2,2,0,0.159415849032466,3.19947692854586,24.1814668732722,5
"268",2,3,0,0.16003011892902,3.17147507815152,24.3659817811555,5
"269",2,4,0,0.166741558342831,3.15788508569689,24.4554400710569,5
"270",2,5,0,0.1820517295071,3.15893294345322,24.4485443691991,5
"271",2,6,0,0.183524457670649,3.17460131992426,24.3453946808782,5
"272",2,7,0,0.178698177077871,3.20462919772378,24.1474869401311,5
"273",2,8,0,0.178280854647325,3.24850682565631,23.8576913148696,5
"274",2,9,0,0.180314044850824,3.30546794415891,23.4802105821123,5
"275",2,10,0,0.182674448623515,3.37448280607979,23.0205191769794,5
"276",2,11,0,0.184702235106497,3.4542565659569,22.4852837993956,5
"277",2,12,0,0.186611735879252,3.54323791895176,21.8822667299076,5
"278",2,13,0,0.188589755073486,3.63964227806919,21.2202132567826,5
"279",2,14,0,0.190590883840967,3.74149227729307,20.5087248469833,5
"280",2,15,0,0.19251644722199,3.84667616896538,19.758119900365,5
"281",2,16,0,0.19431613128086,3.95302210507326,18.9792841065127,5
"282",2,17,0,0.195973895702163,4.05838376518076,18.1835125744285,5
"283",2,18,0,0.197479837412619,4.16073065205236,17.3823460245912,5
"284",2,19,0,0.198825818944486,4.25823484987803,16.5874034190216,5
"285",2,20,0,0.200009403107474,4.34934536308789,15.810213456646,5
"286",2,21,0,0.201034137349452,4.43284165332119,15.062047377705,5
"287",2,22,0,0.201907498950991,4.50785996645354,14.3537555019708,5
"288",2,23,0,0.202639287464385,4.57388944189068,13.695609871387,5
"289",2,24,0,0.203240620062478,4.63073920495335,13.097155279215,5
"290",2,25,0,0.203723034434735,4.67848162445846,12.5670708461432,5
"291",2,26,0,0.204097633956287,4.71737968617667,12.1130441508617,5
"292",2,27,0,0.204374367411551,4.74780749754492,11.7416597405287,5
"293",2,28,0,0.20456146660094,4.77017243043939,11.4583036380125,5
"294",2,29,0,0.204665027045307,4.78484587966282,11.2670852307985,5
"295",2,30,0,0.20468872249403,4.79210771360308,11.1707776743704,5
"296",2,31,0,0.204633650137185,4.79210771360308,11.1707776743704,5
"297",2,32,0,0.20449830441659,4.78484587966282,11.2670852307985,5
"298",2,33,0,0.204278678346629,4.77017243043939,11.4583036380125,5
"299",2,34,0,0.203968492939802,4.74780749754492,11.7416597405286,5
"300",2,35,0,0.20355955609145,4.71737968617668,12.1130441508617,5
"301",2,36,0,0.203042252043491,4.67848162445846,12.5670708461432,5
"302",2,37,0,0.202406161261264,4.63073920495335,13.097155279215,5
"303",2,38,0,0.201640806304781,4.57388944189068,13.695609871387,5
"304",2,39,0,0.200736513058807,4.50785996645354,14.3537555019707,5
"305",2,40,0,0.199685368506266,4.43284165332119,15.062047377705,5
"306",2,41,0,0.198482247520464,4.3493453630879,15.810213456646,5
"307",2,42,0,0.197125874445574,4.25823484987803,16.5874034190215,5
"308",2,43,0,0.195619881018848,4.16073065205236,17.3823460245911,5
"309",2,44,0,0.193973817856362,4.05838376518077,18.1835125744285,5
"310",2,45,0,0.192204066806697,3.95302210507326,18.9792841065127,5
"311",2,46,0,0.190334581330022,3.84667616896538,19.758119900365,5
"312",2,47,0,0.188397353088776,3.74149227729308,20.5087248469833,5
"313",2,48,0,0.186432475027842,3.6396422780692,21.2202132567825,5
"314",2,49,0,0.184487659043975,3.54323791895176,21.8822667299076,5
"315",2,50,0,0.18261708170991,3.4542565659569,22.4852837993956,5
"316",2,51,0,0.180879480252762,3.37448280607979,23.0205191769794,5
"317",2,52,0,0.179335495033492,3.30546794415892,23.4802105821123,5
"318",2,53,0,0.178551456000655,3.27085207163368,23.7098550302521,5
"319",2,1,0.25,0.160212203496834,3.24810142874376,23.9045712850223,5
"320",2,2,0.25,0.159445988333036,3.20291803944669,24.1814668732722,5
"321",2,3,0.25,0.160025284372892,3.17271129513944,24.3659817811555,5
"322",2,4,0.25,0.16676361625516,3.15804052655186,24.4554400710569,5
"323",2,5,0.25,0.182081770317548,3.15917195870403,24.4485443691991,5
"324",2,6,0.25,0.183526092070057,3.17608518881581,24.3453946808782,5
"325",2,7,0.25,0.178784967141562,3.20847266148081,24.1474869401311,5
"326",2,8,0.25,0.178482260393669,3.25573232590946,23.8576913148696,5
"327",2,9,0.25,0.180633883404751,3.31695618555973,23.4802105821123,5
"328",2,10,0.25,0.183106821807522,3.39091964454136,23.0205191769794,5
"329",2,11,0.25,0.18523741340083,3.47607808436054,22.4852837993956,5
"330",2,12,0.25,0.187237279479634,3.5705776292407,21.8822667299076,5
"331",2,13,0.25,0.189285764301381,3.67228630723991,21.2202132567826,5
"332",2,14,0.25,0.191330251300112,3.77884970043907,20.5087248469833,5
"333",2,15,0.25,0.193269393681163,3.88777189655052,19.758119900365,5
"334",2,16,0.25,0.195053550612453,3.99651859391396,18.9792841065127,5
"335",2,17,0.25,0.196668319873907,4.10263523529474,18.1835125744285,5
"336",2,18,0.25,0.198106140795954,4.20386971523754,17.3823460245912,5
"337",2,19,0.25,0.199362264695044,4.29828707150209,16.5874034190216,5
"338",2,20,0.25,0.200438534048166,4.38436308340457,15.810213456646,5
"339",2,21,0.25,0.201343307046288,4.46104522134169,15.062047377705,5
"340",2,22,0.25,0.202089238830329,4.52777304068619,14.3537555019708,5
"341",2,23,0.25,0.202691509861066,4.58445547544932,13.695609871387,5
"342",2,24,0.25,0.203166717831364,4.63140849540045,13.097155279215,5
"343",2,25,0.25,0.203531797910972,4.66926182012374,12.5670708461432,5
"344",2,26,0.25,0.203802960326304,4.69884664659697,12.1130441508617,5
"345",2,27,0.25,0.203994747059808,4.72107718140197,11.7416597405287,5
"346",2,28,0.25,0.204119238202386,4.73683751877346,11.4583036380125,5
"347",2,29,0.25,0.204185413852944,4.74688291780174,11.2670852307985,5
"348",2,30,0.25,0.204198688381887,4.75176172409704,11.1707776743704,5
"349",2,31,0.25,0.204160635784795,4.75176172409704,11.1707776743704,5
"350",2,32,0.25,0.204068932521881,4.74688291780174,11.2670852307985,5
"351",2,33,0.25,0.203917484980858,4.73683751877346,11.4583036380125,5
"352",2,34,0.25,0.203696800221434,4.72107718140197,11.7416597405286,5
"353",2,35,0.25,0.203394539213175,4.69884664659697,12.1130441508617,5
"354",2,36,0.25,0.202996235346483,4.66926182012374,12.5670708461432,5
"355",2,37,0.25,0.202486174848386,4.63140849540046,13.097155279215,5
"356",2,38,0.25,0.201848395120086,4.58445547544932,13.695609871387,5
"357",2,39,0.25,0.201067775000911,4.52777304068619,14.3537555019707,5
"358",2,40,0.25,0.20013119073301,4.46104522134169,15.062047377705,5
"359",2,41,0.25,0.199028711357395,4.38436308340457,15.810213456646,5
"360",2,42,0.25,0.197754809538582,4.29828707150209,16.5874034190215,5
"361",2,43,0.25,0.196309559903596,4.20386971523754,17.3823460245911,5
"362",2,44,0.25,0.194699789690167,4.10263523529475,18.1835125744285,5
"363",2,45,0.25,0.192940198278535,3.99651859391397,18.9792841065127,5
