"","country","week","mismatch","meanI","meanR0","meantemp","changes"
"1",1,1,0,0.00107939870505689,0.504339861300505,24.2906461119316,1
"2",1,2,0,0.00052292881287001,0.50549265165763,24.282622707614,1
"3",1,3,0,0.000256815477078924,0.522982116894696,24.1626042277406,1
"4",1,4,0,0.000131023226391863,0.55784469250336,23.932331246927,1
"5",1,5,0,7.13527141309343e-05,0.612074180356921,23.5951433117618,1
"6",1,6,0,4.27204822016122e-05,0.688579420267653,23.1559305088487,1
"7",1,7,0,2.90347769145911e-05,0.791066048466828,22.6210625460556,1
"8",1,8,0,2.31783933779607e-05,0.923782435495643,21.9982963754761,1
"9",1,9,0,2.25175980004621e-05,1.09106571730493,21.2966636978036,1
"10",1,10,0,2.75760803950896e-05,1.29664408392769,20.5263399795952,1
"11",1,11,0,4.39922540378037e-05,1.54270798693637,19.6984968830071,1
"12",1,12,0,9.39978119421823e-05,1.82885750781459,18.825140248149,1
"13",1,13,0,0.00027437243007662,2.15114601610818,17.9189359777263,1
"14",1,14,0,0.00110292232113438,2.50152500613019,16.9930263490886,1
"15",1,15,0,0.00601812533947185,2.86799099893378,16.0608394176286,1
"16",1,16,0,0.0398718325909796,3.23560089072738,15.1358942756688,1
"17",1,17,0,0.181807870603837,3.58827305263447,14.2316049910806,1
"18",1,18,0,0.271196281596551,3.91101540739778,13.3610860690261,1
"19",1,19,0,0.22228137044915,4.19204367470863,12.5369622581246,1
"20",1,20,0,0.195890439327357,4.42426492985063,11.7711854593401,1
"21",1,21,0,0.200634978446808,4.6058031368235,11.0748613928794,1
"22",1,22,0,0.20619159899794,4.73954005326546,10.458088536873,1
"23",1,23,0,0.206597686084769,4.83190675895347,9.9298116736399,1
"24",1,24,0,0.206225683880843,4.89129548220409,9.49769216748888,1
"25",1,25,0,0.206344359509988,4.92645176035797,9.16799685536103,1
"26",1,26,0,0.206468368572856,4.94510049874298,8.94550716168161,1
"27",1,27,0,0.206452308199936,4.95292650281517,8.83344975548892,1
"28",1,28,0,0.206376037989507,4.95292650281518,8.83344975548892,1
"29",1,29,0,0.206246627892895,4.94510049874298,8.9455071616816,1
"30",1,30,0,0.206001436156822,4.92645176035797,9.16799685536102,1
"31",1,31,0,0.205550967536738,4.89129548220409,9.49769216748886,1
"32",1,32,0,0.204784050062707,4.83190675895347,9.92981167363987,1
"33",1,33,0,0.203565879079335,4.73954005326547,10.458088536873,1
"34",1,34,0,0.201739196724007,4.60580313682351,11.0748613928794,1
"35",1,35,0,0.199123951830968,4.42426492985064,11.7711854593401,1
"36",1,36,0,0.195514169696327,4.19204367470864,12.5369622581246,1
"37",1,37,0,0.190674054755415,3.91101540739779,13.3610860690261,1
"38",1,38,0,0.184336665853378,3.58827305263448,14.2316049910805,1
"39",1,39,0,0.176210176419482,3.2356008907274,15.1358942756687,1
"40",1,40,0,0.165999125333892,2.8679909989338,16.0608394176285,1
"41",1,41,0,0.153450230204745,2.50152500613021,16.9930263490885,1
"42",1,42,0,0.138431749728407,2.1511460161082,17.9189359777262,1
"43",1,43,0,0.121047491127753,1.82885750781461,18.8251402481489,1
"44",1,44,0,0.101766940836504,1.54270798693638,19.6984968830071,1
"45",1,45,0,0.0815128190230651,1.2966440839277,20.5263399795951,1
"46",1,46,0,0.0616192478851866,1.09106571730494,21.2966636978035,1
"47",1,47,0,0.043587625000061,0.923782435495651,21.998296375476,1
"48",1,48,0,0.028675230771582,0.791066048466834,22.6210625460556,1
"49",1,49,0,0.0175074346602836,0.688579420267657,23.1559305088486,1
"50",1,50,0,0.0099493465286418,0.612074180356924,23.5951433117618,1
"51",1,51,0,0.00530700327963428,0.557844692503362,23.932331246927,1
"52",1,52,0,0.0026923948353504,0.522982116894698,24.1626042277406,1
"53",1,53,0,0.00176243918171853,0.510273740990434,24.2493917253324,1
"54",1,1,0.25,0.00172389667700901,0.504963270076473,24.2906461119316,1
"55",1,2,0.25,0.0008310953056896,0.506453848233278,24.282622707614,1
"56",1,3,0.25,0.000408147081195263,0.529158127598086,24.1626042277406,1
"57",1,4,0.25,0.000210753524859133,0.574895417182936,23.932331246927,1
"58",1,5,0.25,0.000118587525675357,0.647191463492844,23.5951433117618,1
"59",1,6,0.25,7.56723909839243e-05,0.751229290082796,23.1559305088487,1
"60",1,7,0.25,5.72339795546757e-05,0.893615603304264,22.6210625460556,1
"61",1,8,0.25,5.38141957737312e-05,1.08177915005529,21.9982963754761,1
"62",1,9,0.25,6.60718588903834e-05,1.32279971576904,21.2966636978036,1
"63",1,10,0.25,0.000111033476178485,1.6215431928294,20.5263399795952,1
"64",1,11,0.25,0.000265788163769127,1.97820570480751,19.6984968830071,1
"65",1,12,0.25,0.000930240411073975,2.38574940886369,18.825140248149,1
"66",1,13,0.25,0.00475973151187471,2.82812208104314,17.9189359777263,1
"67",1,14,0.25,0.0324770136030637,3.28033245405886,16.9930263490886,1
"68",1,15,0.25,0.169573978285748,3.71112542501995,16.0608394176286,1
"69",1,16,0.25,0.275764696570826,4.08810653001233,15.1358942756688,1
"70",1,17,0.25,0.228115503807069,4.38404347411701,14.2316049910806,1
"71",1,18,0.25,0.199028032642318,4.58235368230682,13.3610860690261,1
"72",1,19,0.25,0.201114432610209,4.67997083208102,12.5369622581246,1
"73",1,20,0.25,0.204628956606469,4.68683063506704,11.7711854593401,1
"74",1,21,0.25,0.203112712288787,4.62253882242729,11.0748613928794,1
"75",1,22,0.25,0.200599626623085,4.51167353557957,10.458088536873,1
"76",1,23,0.25,0.198459101943355,4.37928170657574,9.9298116736399,1
