"","country","week","mismatch","meanI","meanR0","meantemp","combination","meanRH"
"1",1,1,0,5007880.45557738,2.02113900548189,NA,1,0.697936742225639
"2",1,2,0,4338134.86580789,1.73983738928259,NA,1,0.709178824791902
"3",1,3,0,3636277.35660013,1.49938462082899,NA,1,0.719610030349509
"4",1,4,0,2937421.69241423,1.29947409398677,NA,1,0.729079079765262
"5",1,5,0,2280274.87144524,1.13777068005587,NA,1,0.737448647628412
"6",1,6,0,1699658.46671047,1.0108564728435,NA,1,0.74459735381999
"7",1,7,0,1219122.17562659,0.915017157453152,NA,1,0.750421523834669
"8",1,8,0,846590.694865465,0.846815555315172,NA,1,0.75483669232599
"9",1,9,0,575087.512325534,0.803464254246666,NA,1,0.757778828069699
"10",1,10,0,387800.342507005,0.783041727309305,NA,1,0.759205262580108
"11",1,11,0,264529.90075963,0.784602219407931,NA,1,0.759095308912155
"12",1,12,0,186718.944435493,0.808218912941945,NA,1,0.757450561674967
"13",1,13,0,140013.204082941,0.854980837447663,NA,1,0.75429487390595
"14",1,14,0,114895.863532533,0.926941920311683,NA,1,0.749674011140804
"15",1,15,0,106613.567107036,1.02699871583568,NA,1,0.743654987696319
"16",1,16,0,115865.856494511,1.15865509513865,NA,1,0.736325094791554
"17",1,17,0,152900.349140265,1.32562320762714,NA,1,0.727790634602123
"18",1,18,0,253405.457500798,1.53121910152578,NA,1,0.718175378607041
"19",1,19,0,539471.124483007,1.77754838456204,NA,1,0.707618772586028
"20",1,20,0,1449201.3540108,2.06454725829648,NA,1,0.696273914299408
"21",1,21,0,4206012.32141188,2.38903839918361,NA,1,0.684305333179411
"22",1,22,0,8784458.03256496,2.744049692477,NA,1,0.671886604233012
"23",1,23,0,10226054.808244,3.11867883863907,NA,1,0.659197830760836
"24",1,24,0,8860819.2624558,3.49872176775972,NA,1,0.646423032399118
"25",1,25,0,8291282.70849571,3.86810409297836,NA,1,0.633747476364793
"26",1,26,0,8637042.53709024,4.21090689745581,NA,1,0.621354990607475
"27",1,27,0,8953498.53105543,4.51355715994438,NA,1,0.609425297834495
"28",1,28,0,9027406.88616796,4.76666243227796,NA,1,0.598131409072433
"29",1,29,0,9050452.99328618,4.9660596749336,NA,1,0.58763711456518
"30",1,30,0,9084908.81969356,5.11288395477445,NA,1,0.578094608396901
"31",1,31,0,9107186.98262409,5.21274131450889,NA,1,0.569642281288945
"32",1,32,0,9113497.66399622,5.2742800803805,NA,1,0.562402713580787
"33",1,33,0,9112320.58662217,5.30753281838723,NA,1,0.556480897501905
"34",1,34,0,9108484.42072876,5.32235227597429,NA,1,0.551962714516181
"35",1,35,0,9104212.40609659,5.32714294752362,NA,1,0.548913689821248
"36",1,36,0,9100963.78699487,5.32796049434841,NA,1,0.547378042065699
"37",1,37,0,9099101.30687928,5.32796049434841,NA,1,0.547378042065699
"38",1,38,0,9097587.10098796,5.32714294752362,NA,1,0.548913689821248
"39",1,39,0,9094066.13346505,5.32235227597429,NA,1,0.551962714516181
"40",1,40,0,9085062.64481754,5.30753281838723,NA,1,0.556480897501904
"41",1,41,0,9066198.41930383,5.2742800803805,NA,1,0.562402713580787
"42",1,42,0,9032396.02005111,5.21274131450889,NA,1,0.569642281288944
"43",1,43,0,8978009.29159062,5.11288395477445,NA,1,0.5780946083969
"44",1,44,0,8896845.03934408,4.96605967493361,NA,1,0.58763711456518
"45",1,45,0,8782083.09464281,4.76666243227798,NA,1,0.598131409072433
"46",1,46,0,8626142.03011861,4.51355715994439,NA,1,0.609425297834494
"47",1,47,0,8420573.91017173,4.21090689745582,NA,1,0.621354990607475
"48",1,48,0,8156109.01414875,3.86810409297838,NA,1,0.633747476364792
"49",1,49,0,7823013.01071053,3.49872176775974,NA,1,0.646423032399117
"50",1,50,0,7411956.15031947,3.11867883863909,NA,1,0.659197830760835
"51",1,51,0,6915595.85662958,2.74404969247702,NA,1,0.671886604233011
"52",1,52,0,6330979.26138727,2.38903839918363,NA,1,0.68430533317941
"53",1,53,0,5961798.50878773,2.19789211767563,NA,1,0.69123345310949
"54",1,1,0.25,5954131.83677668,2.58346183233364,NA,1,0.697936742225639
"55",1,2,0.25,5272736.80880649,2.16673083149011,NA,1,0.709178824791902
"56",1,3,0.25,4515993.97046822,1.80904793256085,NA,1,0.719610030349509
"57",1,4,0.25,3723272.16361028,1.51385970154993,NA,1,0.729079079765262
"58",1,5,0.25,2942282.96960222,1.27865364933181,NA,1,0.737448647628412
"59",1,6,0.25,2220751.7765722,1.09756756192805,NA,1,0.74459735381999
"60",1,7,0.25,1599923.2621925,0.96356967111177,NA,1,0.750421523834669
"61",1,8,0.25,1105698.86770718,0.869978136705452,NA,1,0.75483669232599
"62",1,9,0.25,741746.202931021,0.811364353065629,NA,1,0.757778828069699
"63",1,10,0.25,492056.317665931,0.784009154285052,NA,1,0.759205262580108
