"","country","week","mismatch","meanI","meanR0","meantemp","combination"
"1",1,1,0,0.00175111176480577,0.523501282563081,24.2906461119316,1
"2",1,2,0,0.000941827789528023,0.524690029990929,24.282622707614,1
"3",1,3,0,0.000513452098803319,0.54272249277298,24.1626042277406,1
"4",1,4,0,0.00028996385712126,0.57865371169905,23.932331246927,1
"5",1,5,0,0.000173790743422534,0.634510949958218,23.5951433117618,1
"6",1,6,0,0.000113469806490953,0.713246096361735,23.1559305088487,1
"7",1,7,0,8.29736650404783e-05,0.818608658700655,22.6210625460556,1
"8",1,8,0,6.99420175572827e-05,0.95487890854267,21.9982963754761,1
"9",1,9,0,6.99734926462551e-05,1.12639736765443,21.2966636978036,1
"10",1,10,0,8.54590720160745e-05,1.33684860715116,20.5263399795952,1
"11",1,11,0,0.000130701035182074,1.5883158362485,19.6984968830071,1
"12",1,12,0,0.000255571393442536,1.88021907397915,18.825140248149,1
"13",1,13,0,0.000647713415834155,2.20836287408155,17.9189359777263,1
"14",1,14,0,0.00213361751537651,2.56440211858166,16.9930263490886,1
"15",1,15,0,0.00895193628624828,2.93602559070718,16.0608394176286,1
"16",1,16,0,0.042927181619106,3.3080166507542,15.1358942756688,1
"17",1,17,0,0.154064601667321,3.66409703570303,14.2316049910806,1
"18",1,18,0,0.235402124198482,3.98918359930521,13.3610860690261,1
"19",1,19,0,0.206083415519606,4.27151419563469,12.5369622581246,1
"20",1,20,0,0.177978550270296,4.50411777842565,11.7711854593401,1
"21",1,21,0,0.172407095643019,4.68531145417647,11.0748613928794,1
"22",1,22,0,0.177612280385627,4.8182068973318,10.458088536873,1
"23",1,23,0,0.180301688462006,4.90946967516784,9.9298116736399,1
"24",1,24,0,0.180111472828884,4.96770637405144,9.49769216748888,1
"25",1,25,0,0.179639754831048,5.00184117595765,9.16799685536103,1
"26",1,26,0,0.179580268542192,5.01973429128259,8.94550716168161,1
"27",1,27,0,0.17962624119982,5.02716024393496,8.83344975548892,1
"28",1,28,0,0.179591108862915,5.02716024393496,8.83344975548892,1
"29",1,29,0,0.179475847384338,5.01973429128259,8.9455071616816,1
"30",1,30,0,0.179271993107478,5.00184117595766,9.16799685536102,1
"31",1,31,0,0.178909175344365,4.96770637405144,9.49769216748886,1
"32",1,32,0,0.178283339360839,4.90946967516784,9.92981167363987,1
"33",1,33,0,0.177275430671215,4.81820689733181,10.458088536873,1
"34",1,34,0,0.175752178339523,4.68531145417648,11.0748613928794,1
"35",1,35,0,0.173562688541041,4.50411777842566,11.7711854593401,1
"36",1,36,0,0.17053564018974,4.2715141956347,12.5369622581246,1
"37",1,37,0,0.166476883994158,3.98918359930523,13.3610860690261,1
"38",1,38,0,0.161168921014073,3.66409703570305,14.2316049910805,1
"39",1,39,0,0.154376416796223,3.30801665075421,15.1358942756687,1
"40",1,40,0,0.145863696369502,2.9360255907072,16.0608394176285,1
"41",1,41,0,0.135431001086407,2.56440211858168,16.9930263490885,1
"42",1,42,0,0.122975310851548,2.20836287408157,17.9189359777262,1
"43",1,43,0,0.108575851488562,1.88021907397917,18.8251402481489,1
"44",1,44,0,0.092586228342778,1.58831583624851,19.6984968830071,1
"45",1,45,0,0.075695069402081,1.33684860715117,20.5263399795951,1
"46",1,46,0,0.0588974936926824,1.12639736765444,21.2966636978035,1
"47",1,47,0,0.0433330267198764,0.954878908542678,21.998296375476,1
"48",1,48,0,0.0300115627464717,0.818608658700661,22.6210625460556,1
"49",1,49,0,0.0195391788047874,0.713246096361739,23.1559305088486,1
"50",1,50,0,0.0119886835846204,0.634510949958221,23.5951433117618,1
"51",1,51,0,0.00697951000985813,0.578653711699053,23.932331246927,1
"52",1,52,0,0.0038974104967728,0.542722492772981,24.1626042277406,1
"53",1,53,0,0.00271685120829336,0.529620182019982,24.2493917253324,1
"54",1,1,0.25,0.00259929820670197,0.524148360084032,24.2906461119316,1
"55",1,2,0.25,0.00138817553980854,0.525687702146838,24.282622707614,1
"56",1,3,0.25,0.000755018699434839,0.549131413362646,24.1626042277406,1
"57",1,4,0.25,0.000430190902400124,0.596339902802221,23.932331246927,1
"58",1,5,0.25,0.000265076108845431,0.670914400249137,23.5951433117618,1
"59",1,6,0.25,0.000182928577613339,0.778138359965707,23.1559305088487,1
"60",1,7,0.25,0.000146828834209056,0.924725867011244,22.6210625460556,1
"61",1,8,0.25,0.000142619684049982,1.11819027716746,21.9982963754761,1
"62",1,9,0.25,0.000174422647823491,1.36563075620763,21.2966636978036,1
"63",1,10,0.25,0.000278635984305216,1.67181641128623,20.5263399795952,1
"64",1,11,0.25,0.000599013843589169,2.03668330421111,19.6984968830071,1
"65",1,12,0.25,0.00176319354072134,2.45274699963613,18.825140248149,1
"66",1,13,0.25,0.00705093866899937,2.90334439540145,17.9189359777263,1
"67",1,14,0.25,0.0349951705562418,3.36278832545115,16.9930263490886,1
"68",1,15,0.25,0.142390678684158,3.79916868721831,16.0608394176286,1
"69",1,16,0.25,0.239934252675338,4.17961469661757,15.1358942756688,1
"70",1,17,0.25,0.210506172475422,4.47669927174093,14.2316049910806,1
"71",1,18,0.25,0.181553350676635,4.67395824795391,13.3610860690261,1
"72",1,19,0.25,0.173352215903687,4.7687100865924,12.5369622581246,1
"73",1,20,0.25,0.176381117893983,4.77143994897244,11.7711854593401,1
"74",1,21,0.25,0.177210662326415,4.70235083573009,11.0748613928794,1
"75",1,22,0.25,0.175235086991049,4.58656973545835,10.458088536873,1
"76",1,23,0.25,0.172862071014045,4.44958706742516,9.9298116736399,1
"77",1,24,0.25,0.17094983762403,4.31396702047764,9.49769216748888,1
"78",1,25,0.25,0.169487647427396,4.19762505407801,9.16799685536103,1
"79",1,26,0.25,0.16848941530286,4.11339591940253,8.94550716168161,1
"80",1,27,0.25,0.168096215453244,4.06935451237041,8.83344975548892,1
"81",1,28,0.25,0.168417016269726,4.06935451237041,8.83344975548892,1
