"","country","changes","mismatch","corsI","corsR","maxs","mins","means","lat","long","pop"
"1","Argentina",9,0,0.658531674152469,0.80654530452254,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"2","Argentina",9,0.25,0.652911464923925,0.800779637153595,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"3","Argentina",9,0.5,0.63126815255087,0.779285224918468,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"4","Argentina",9,0.75,0.634994402686029,0.790892567729593,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"5","Argentina",9,1,0.638859577929463,0.796344888440653,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"6","Australia",9,0,0.613536303074358,0.765876411619312,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"7","Australia",9,0.25,0.606555752175638,0.757971503599963,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"8","Australia",9,0.5,0.580194750824707,0.729128086831658,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"9","Australia",9,0.75,0.58669419288212,0.745793457062007,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"10","Australia",9,1,0.59182523938245,0.753437746386227,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"11","Austria",9,0,0.532007346389971,0.577582829952373,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"12","Austria",9,0.25,0.523089776605041,0.567169150064533,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"13","Austria",9,0.5,0.488067642525401,0.527135737413601,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"14","Austria",9,0.75,0.495250302746618,0.54198734651613,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"15","Austria",9,1,0.501481762807932,0.550775211094913,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"16","Belarus",9,0,0.495345382842991,0.519700503468949,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"17","Belarus",9,0.25,0.492446398477429,0.516372662021016,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"18","Belarus",9,0.5,0.481294781701209,0.502456464721127,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"19","Belarus",9,0.75,0.482245771079369,0.506118061201951,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"20","Belarus",9,1,0.484200802276043,0.508781265951997,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"21","Belgium",9,0,0.452798309838867,0.721729190147555,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"22","Belgium",9,0.25,0.439881014773897,0.709628322381055,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"23","Belgium",9,0.5,0.378298174631044,0.662886210454611,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"24","Belgium",9,0.75,0.365707081799337,0.684594515999268,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"25","Belgium",9,1,0.370130422222558,0.696199796828304,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"26","Brazil",9,0,0.363478246247972,0.357574364454581,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"27","Brazil",9,0.25,0.363517678831999,0.361832281529799,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"28","Brazil",9,0.5,0.356586173556384,0.37457802902602,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"29","Brazil",9,0.75,0.339185292765023,0.366189323277989,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"30","Brazil",9,1,0.335800536404355,0.361459651295127,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"31","Bulgaria",9,0,0.577667581328045,0.617508501823776,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"32","Bulgaria",9,0.25,0.571585558439596,0.610233751960212,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"33","Bulgaria",9,0.5,0.549139868025293,0.582715252537444,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"34","Bulgaria",9,0.75,0.558533628094045,0.592846520309183,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"35","Bulgaria",9,1,0.563512978758495,0.598672385788263,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"36","Cambodia",9,0,0.726896555191918,0.759708314571516,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"37","Cambodia",9,0.25,0.719472114936718,0.750572587295961,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"38","Cambodia",9,0.5,0.688902279577486,0.716800866459443,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"39","Cambodia",9,0.75,0.693141416748793,0.741741056627612,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"40","Cambodia",9,1,0.698003382552419,0.752185120379646,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
