"","country","changes","mismatch","corsI","corsR","maxs","mins","means","lat","long","pop"
"1","Argentina",0.75,0,0.8797685665514,0.849382472451766,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"2","Argentina",0.75,0.25,0.842849578825276,0.632811816948538,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"3","Argentina",0.75,0.5,-0.153205478914622,-0.246763269035269,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"4","Argentina",0.75,0.75,-0.770315842315957,-0.797542921854565,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"5","Argentina",0.75,1,-0.642600722267566,-0.812703693664828,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"6","Australia",0.75,0,0.826652336875447,0.828673493477573,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"7","Australia",0.75,0.25,0.72785907533677,0.55124561629958,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"8","Australia",0.75,0.5,-0.225929709387644,-0.403383587263006,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"9","Australia",0.75,0.75,-0.629907522061572,-0.819209528375038,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"10","Australia",0.75,1,-0.51236318517011,-0.766596189810262,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"11","Austria",0.75,0,0.672762315649701,0.696010274754338,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"12","Austria",0.75,0.25,0.522350338653374,0.385112641855125,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"13","Austria",0.75,0.5,-0.215965717927939,-0.404373584716752,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"14","Austria",0.75,0.75,-0.53107312398631,-0.700801905789659,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"15","Austria",0.75,1,-0.44053679141388,-0.64645557516051,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"16","Belarus",0.75,0,0.679057414876583,0.573114245951256,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"17","Belarus",0.75,0.25,0.596667595580193,0.493557203771519,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"18","Belarus",0.75,0.5,-0.183708644416517,-0.086202813914079,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"19","Belarus",0.75,0.75,-0.600175107948568,-0.52411995580531,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"20","Belarus",0.75,1,-0.497225787707714,-0.563038465371958,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"21","Belgium",0.75,0,0.698582170178763,0.814831409280536,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"22","Belgium",0.75,0.25,0.587100819980473,0.517019980807684,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"23","Belgium",0.75,0.5,-0.159287044005635,-0.411607719452316,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"24","Belgium",0.75,0.75,-0.594072475805084,-0.815065001646871,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"25","Belgium",0.75,1,-0.503562587541933,-0.753856050046289,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"26","Brazil",0.75,0,-0.399881796539405,0.346223527536542,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"27","Brazil",0.75,0.25,-0.406472717852859,0.405969460473063,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"28","Brazil",0.75,0.5,-0.0308612139165073,0.151974965278462,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"29","Brazil",0.75,0.75,0.229179270121126,-0.291919393256423,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"30","Brazil",0.75,1,0.177389465441923,-0.37236794242915,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"31","Bulgaria",0.75,0,0.746816828978782,0.734203626765327,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"32","Bulgaria",0.75,0.25,0.558002933380959,0.442293470312772,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"33","Bulgaria",0.75,0.5,-0.207000410010775,-0.382415544228432,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"34","Bulgaria",0.75,0.75,-0.553101467579767,-0.72945541313841,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"35","Bulgaria",0.75,1,-0.453443938061743,-0.697894442809911,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"36","Cambodia",0.75,0,-0.024401054643545,0.768287724312359,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"37","Cambodia",0.75,0.25,0.0536821446228584,0.50404888386907,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"38","Cambodia",0.75,0.5,-0.22758615736709,-0.300526531876269,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
