"","country","changes","mismatch","corsI","corsR","maxs","mins","means","lat","long","pop"
"1","Argentina",7,0,0.660877169875823,0.805249340735957,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"2","Argentina",7,0.25,0.651852432263054,0.795878818231788,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"3","Argentina",7,0.5,0.615874836822344,0.758304531172336,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"4","Argentina",7,0.75,0.621108091097508,0.777318444945457,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"5","Argentina",7,1,0.627597068225206,0.786963871836498,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"6","Australia",7,0,0.615278367903269,0.763606943089449,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"7","Australia",7,0.25,0.60408330489987,0.750803102291518,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"8","Australia",7,0.5,0.56027298793854,0.70069488640581,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"9","Australia",7,0.75,0.569771160874745,0.727663807908444,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"10","Australia",7,1,0.578384198693097,0.741109529257152,24.4554400710569,11.1707776743704,17.9068989946278,-25.274398,133.775136,25364307
"11","Austria",7,0,0.534160660002209,0.577700378537012,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"12","Austria",7,0.25,0.519935859833578,0.561047201834528,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"13","Austria",7,0.5,0.462077491806196,0.493497137378228,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"14","Austria",7,0.75,0.471876701032882,0.515730124596468,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"15","Austria",7,1,0.482198693866246,0.530823141768938,20.4429680379856,-2.69669368169018,8.76729090226386,47.516231,14.550072,8877067
"16","Belarus",7,0,0.496906579316582,0.52045126592812,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"17","Belarus",7,0.25,0.492295487324826,0.515114575960166,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"18","Belarus",7,0.5,0.47359606810429,0.491079651716542,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"19","Belarus",7,0.75,0.474555499642334,0.496632612845149,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"20","Belarus",7,1,0.477822307269387,0.501352037919051,21.4595583990503,-6.08091408294802,7.47504322009185,53.709807,27.953389,9466856
"21","Belgium",7,0,0.467408005632035,0.719849182288255,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"22","Belgium",7,0.25,0.446938691801514,0.700576113016456,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"23","Belgium",7,0.5,0.346615330019934,0.619976862170486,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"24","Belgium",7,0.75,0.321909155776203,0.652624777930977,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"25","Belgium",7,1,0.328695129654949,0.673164180158907,18.5749419854765,2.66865848062165,10.5166396364409,50.503887,4.469936,11484055
"26","Brazil",7,0,0.371524947393827,0.359787935836598,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"27","Brazil",7,0.25,0.371574052269053,0.366018063161545,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"28","Brazil",7,0.5,0.360039835470741,0.383259029222564,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"29","Brazil",7,0.75,0.331589824672572,0.374888192435629,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"30","Brazil",7,1,0.325692668516896,0.367881646047382,26.8270068859397,22.8861612748017,24.8800554981854,-14.235004,-51.92528,211049527
"31","Bulgaria",7,0,0.576809162209223,0.617896916781691,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"32","Bulgaria",7,0.25,0.567053555700707,0.606129937179479,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"33","Bulgaria",7,0.5,0.529815675142672,0.559778341973226,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"34","Bulgaria",7,0.75,0.544128849973958,0.575686745225948,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"35","Bulgaria",7,1,0.552434990889144,0.58561630790488,25.231601509414,-1.05409025789005,11.9305760872596,42.733883,25.48583,6975761
"36","Cambodia",7,0,0.72901219111658,0.754952348770696,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"37","Cambodia",7,0.25,0.716924191004432,0.740132279792493,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"38","Cambodia",7,0.5,0.663814284666763,0.678720562046369,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"39","Cambodia",7,0.75,0.670916144729347,0.719501322121398,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"40","Cambodia",7,1,0.679383004062735,0.738859039321115,31.3194921350763,26.569218914443,28.9303232947762,12.565679,104.990963,16486542
"41","Cameroon",7,0,0.540396424505445,0.601534899740073,28.3070526767857,24.0995169799991,26.2070221516003,7.369722,12.354722,25876380
