"","country","combination","mismatch","corsI","corsR","maxs","mins","means","lat","long","pop"
"1","Argentina",1,0,0.607923391108133,0.658562341118807,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"2","Argentina",1,0.25,0.61366946915722,0.663562744169078,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"3","Argentina",1,0.5,0.217710494092495,0.131461476688036,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"4","Argentina",1,0.75,-0.364600369394152,-0.567199446892255,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"5","Argentina",1,1,-0.404758681341519,-0.64636951675742,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"6","Argentina",2,0,0.585066543269467,0.658559903388754,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"7","Argentina",2,0.25,0.607298804986372,0.663566649384873,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"8","Argentina",2,0.5,0.234297790467954,0.131480925896112,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"9","Argentina",2,0.75,-0.349365639719227,-0.567187539990679,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"10","Argentina",2,1,-0.387773712999793,-0.646366527872066,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"11","Argentina",3,0,0.659165350586154,0.658569285215798,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"12","Argentina",3,0.25,0.61749837155704,0.663551612291314,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"13","Argentina",3,0.5,0.144126489114379,0.131406057327639,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"14","Argentina",3,0.75,-0.403803752972513,-0.567233370203074,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"15","Argentina",3,1,-0.446400752218082,-0.646378031375156,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"16","Argentina",4,0,0.614229038834865,0.658577041219001,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"17","Argentina",4,0.25,0.607688286718157,0.663539165707579,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"18","Argentina",4,0.5,0.226729333669474,0.131344129388632,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"19","Argentina",4,0.75,-0.348078283919898,-0.56727126932148,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"20","Argentina",4,1,-0.387604583183303,-0.646387542408265,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"21","Argentina",5,0,0.660819991364555,0.658572459986711,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"22","Argentina",5,0.25,0.613817131988269,0.663546519201578,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"23","Argentina",5,0.5,0.132845381303031,0.131380712007964,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"24","Argentina",5,0.75,-0.417544339893169,-0.56724888226876,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"25","Argentina",5,1,-0.459134249717682,-0.646381924421126,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"26","Argentina",6,0,0.609417496305746,0.658564500509737,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"27","Argentina",6,0.25,0.614625885492443,0.663559283704868,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"28","Argentina",6,0.5,0.219669185192625,0.13144424566803,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"29","Argentina",6,0.75,-0.356522248107941,-0.567209995092713,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"30","Argentina",6,1,-0.395389613619827,-0.646372164449797,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"31","Argentina",7,0,0.638638565496836,0.658574389316591,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"32","Argentina",7,0.25,0.61489444935639,0.663543422958875,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"33","Argentina",7,0.5,0.184410828116211,0.131365306985133,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"34","Argentina",7,0.75,-0.387832181533197,-0.567258309875966,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"35","Argentina",7,1,-0.427086793325055,-0.646384290327956,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"36","Argentina",8,0,0.597741970810177,0.658562017022488,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"37","Argentina",8,0.25,0.609906743365506,0.663563263446659,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"38","Argentina",8,0.5,0.228365522303173,0.13146406263467,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
"39","Argentina",8,0.75,-0.355260509204908,-0.567197863812267,0.759205262580108,0.547378042065699,0.653880151869695,-38.416097,-63.616672,44938712
