"","country","combination","mismatch","corsI","corsR","maxs","mins","time_max","means","lat","long","pop"
"1","Argentina",1,0,0.72029017807098,0.816799051526814,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"2","Argentina",1,0.25,0.622998587858121,0.646588484189386,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"3","Argentina",1,0.5,-0.193247311356028,-0.25071126554477,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"4","Argentina",1,0.75,-0.849850374976972,-0.843768753903549,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"5","Argentina",1,1,-0.866116343170886,-0.856374520093541,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"6","Argentina",2,0,0.864610849758871,0.830312317097155,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"7","Argentina",2,0.25,0.758501128431993,0.680958204645216,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"8","Argentina",2,0.5,-0.124580985789943,-0.198701800442422,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"9","Argentina",2,0.75,-0.851757863938279,-0.821285425446198,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"10","Argentina",2,1,-0.871594006807054,-0.868939673783034,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"11","Argentina",3,0,0.741717183769213,0.82406207299897,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"12","Argentina",3,0.25,0.640626036528108,0.665340226634141,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"13","Argentina",3,0.5,-0.160374121189293,-0.222664372362453,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"14","Argentina",3,0.75,-0.82675695782475,-0.833062071159568,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"15","Argentina",3,1,-0.830995727453755,-0.863731464647884,24.2906461119316,8.83344975548892,1,16.6845389297698,-38.416097,-63.616672,44938712
"16","Australia",1,0,0.637165100915875,0.775646484775897,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"17","Australia",1,0.25,0.527101514472204,0.559740173590991,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"18","Australia",1,0.5,-0.385338566880685,-0.408779203105305,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"19","Australia",1,0.75,-0.908170931055651,-0.875945793562012,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"20","Australia",1,1,-0.872977465501292,-0.832149513857431,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"21","Australia",2,0,0.774375449483343,0.794636630861624,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"22","Australia",2,0.25,0.65477800477606,0.601138459708303,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"23","Australia",2,0.5,-0.318518294950377,-0.363571387272919,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"24","Australia",2,0.75,-0.854898280380551,-0.874417201975121,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"25","Australia",2,1,-0.794725987116983,-0.855384396033717,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"26","Australia",3,0,0.671937636234097,0.785908560413564,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"27","Australia",3,0.25,0.554038990175368,0.582383348408374,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"28","Australia",3,0.5,-0.349028342138188,-0.384379350715133,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"29","Australia",3,0.75,-0.86773661116488,-0.876153589018555,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"30","Australia",3,1,-0.822971552088918,-0.845067859557046,24.4554400710569,11.1707776743704,4,17.9068989946278,-25.274398,133.775136,25364307
"31","Austria",1,0,0.487966085486589,0.641117462181345,20.4429680379856,-2.69669368169018,34,8.76729090226386,47.516231,14.550072,8877067
"32","Austria",1,0.25,0.390039920609151,0.406422449191421,20.4429680379856,-2.69669368169018,34,8.76729090226386,47.516231,14.550072,8877067
"33","Austria",1,0.5,-0.374668694546643,-0.432519118714768,20.4429680379856,-2.69669368169018,34,8.76729090226386,47.516231,14.550072,8877067
"34","Austria",1,0.75,-0.761066399380023,-0.769770142260236,20.4429680379856,-2.69669368169018,34,8.76729090226386,47.516231,14.550072,8877067
"35","Austria",1,1,-0.717592476316498,-0.716549322107183,20.4429680379856,-2.69669368169018,34,8.76729090226386,47.516231,14.550072,8877067
"36","Austria",2,0,0.553545946237606,0.65418393001396,20.4429680379856,-2.69669368169018,34,8.76729090226386,47.516231,14.550072,8877067
"37","Austria",2,0.25,0.453404168317698,0.436999098706718,20.4429680379856,-2.69669368169018,34,8.76729090226386,47.516231,14.550072,8877067
"38","Austria",2,0.5,-0.295622984314878,-0.397523217329947,20.4429680379856,-2.69669368169018,34,8.76729090226386,47.516231,14.550072,8877067
