"","country","combination","mismatch","corsI","corsR","maxs","mins","means","lat","long","pop"
"1","Argentina",1,0,0.720542950679021,0.819002311997138,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"2","Argentina",1,0.25,0.61982853437894,0.652355596373694,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"3","Argentina",1,0.5,-0.179828607410887,-0.242160882162869,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"4","Argentina",1,0.75,-0.83150176775238,-0.840846894309577,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"5","Argentina",1,1,-0.839779347323913,-0.858751119777474,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"6","Argentina",2,0,0.783173786281657,0.82301461746436,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"7","Argentina",2,0.25,0.680477612632682,0.662679569156403,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"8","Argentina",2,0.5,-0.164465086923988,-0.226688715542714,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"9","Argentina",2,0.75,-0.86037865140224,-0.834798783811603,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"10","Argentina",2,1,-0.867480610505239,-0.862755507194983,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"11","Argentina",3,0,0.832253009944824,0.827813478749432,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"12","Argentina",3,0.25,0.726754666267439,0.674764196691376,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"13","Argentina",3,0.5,-0.144651090519686,-0.208277947882115,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"14","Argentina",3,0.75,-0.864588690470849,-0.826289768811381,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"15","Argentina",3,1,-0.870129871752244,-0.866985994926707,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"16","Argentina",4,0,0.842255558119758,0.830948623291996,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"17","Argentina",4,0.25,0.735135336830476,0.682525662410664,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"18","Argentina",4,0.5,-0.136939336580834,-0.196262278860304,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"19","Argentina",4,0.75,-0.850025991764179,-0.819946216412427,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"20","Argentina",4,1,-0.857522202175872,-0.869409016032965,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"21","Argentina",5,0,0.754284354216252,0.82548275150703,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"22","Argentina",5,0.25,0.65076167517453,0.668927870342792,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"23","Argentina",5,0.5,-0.155426279863793,-0.217212459623893,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"24","Argentina",5,0.75,-0.825619361327007,-0.830599894705777,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"25","Argentina",5,1,-0.827103647720807,-0.865008590423765,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"26","Argentina",6,0,0.821668922966379,0.826342832479286,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"27","Argentina",6,0.25,0.715816119642054,0.671088538309707,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"28","Argentina",6,0.5,-0.147810239711953,-0.213914464783974,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"29","Argentina",6,0.75,-0.862068979321122,-0.829048894319143,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"30","Argentina",6,1,-0.868538072753695,-0.86575545964533,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"31","Argentina",7,0,0.834512481371663,0.827182674264024,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"32","Argentina",7,0.25,0.728464249659728,0.673190449766182,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"33","Argentina",7,0.5,-0.142532425169522,-0.210695329969127,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"34","Argentina",7,0.75,-0.863572560102057,-0.82748990474553,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"35","Argentina",7,1,-0.871363119937218,-0.866465416566132,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"36","Argentina",8,0,0.836990396765208,0.829975627893481,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"37","Argentina",8,0.25,0.730976320250905,0.680127248501084,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"38","Argentina",8,0.5,-0.14115393794522,-0.199992358544519,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"39","Argentina",8,0.75,-0.857086901264795,-0.821983279055708,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
