"","country","combination","mismatch","corsI","corsR","maxs","mins","means","lat","long","pop"
"1","Argentina",1,0,0.806068965497616,0.830356946908379,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"2","Argentina",1,0.25,0.693870004790933,0.681068270046201,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"3","Argentina",1,0.5,-0.137999531292712,-0.198530718059289,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"4","Argentina",1,0.75,-0.799330467887881,-0.821192363937903,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"5","Argentina",1,1,-0.82605560870978,-0.868972969922083,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"6","Argentina",2,0,0.647527614505866,0.817533264667253,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"7","Argentina",2,0.25,0.5537856190128,0.648518589893435,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"8","Argentina",2,0.5,-0.175887111809577,-0.247856686342793,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"9","Argentina",2,0.75,-0.782896324563371,-0.842826091527192,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"10","Argentina",2,1,-0.798403274271719,-0.857180438253507,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"11","Argentina",3,0,0.75027640019539,0.816750838317585,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"12","Argentina",3,0.25,0.651108153347155,0.646461442695772,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"13","Argentina",3,0.5,-0.192785578038787,-0.25089891433198,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
"14","Argentina",3,0.75,-0.868516915349649,-0.843829575804846,24.2906461119316,8.83344975548892,16.6845389297698,-38.416097,-63.616672,44938712
